"DateTime";"Without Channels";"With Channels"
"2019-07-04 00:00:00";82;4496
"2019-07-05 00:00:00";81;4495
"2019-07-06 00:00:00";80;4499
"2019-07-07 00:00:00";79;4504
"2019-07-08 00:00:00";80;4507
"2019-07-09 00:00:00";79;4518
"2019-07-10 00:00:00";80;4514
"2019-07-11 00:00:00";80;4508
"2019-07-12 00:00:00";81;4507
"2019-07-13 00:00:00";81;4512
"2019-07-14 00:00:00";81;4508
"2019-07-15 00:00:00";80;4509
"2019-07-16 00:00:00";80;4516
"2019-07-17 00:00:00";80;4497
"2019-07-18 00:00:00";79;4497
"2019-07-19 00:00:00";79;4501
"2019-07-20 00:00:00";78;4508
"2019-07-21 00:00:00";78;4513
"2019-07-22 00:00:00";78;4522
"2019-07-23 00:00:00";78;4524
"2019-07-24 00:00:00";77;4529
"2019-07-25 00:00:00";77;4529
"2019-07-26 00:00:00";77;4534
"2019-07-27 00:00:00";77;4535
"2019-07-28 00:00:00";76;4542
"2019-07-29 00:00:00";75;4546
"2019-07-30 00:00:00";75;4548
"2019-07-31 00:00:00";75;4544
"2019-08-01 00:00:00";75;4525
"2019-08-02 00:00:00";75;4601
"2019-08-03 00:00:00";76;4628
"2019-08-04 00:00:00";75;4653
"2019-08-05 00:00:00";75;4667
"2019-08-06 00:00:00";75;4687
"2019-08-07 00:00:00";75;4690
"2019-08-08 00:00:00";75;4699
"2019-08-09 00:00:00";76;4709
"2019-08-10 00:00:00";75;4718
"2019-08-11 00:00:00";75;4723
"2019-08-12 00:00:00";75;4719
"2019-08-13 00:00:00";72;4720
"2019-08-14 00:00:00";72;4723
"2019-08-15 00:00:00";72;4724
"2019-08-16 00:00:00";72;4729
"2019-08-17 00:00:00";72;4730
"2019-08-18 00:00:00";72;4736
"2019-08-19 00:00:00";72;4735
"2019-08-20 00:00:00";72;4735
"2019-08-21 00:00:00";72;4735
"2019-08-22 00:00:00";71;4748
"2019-08-23 00:00:00";71;4750
"2019-08-24 00:00:00";70;4752
"2019-08-25 00:00:00";70;4754
"2019-08-26 00:00:00";71;4760
"2019-08-27 00:00:00";71;4759
"2019-08-28 00:00:00";71;4762
"2019-08-29 00:00:00";71;4765
"2019-08-30 00:00:00";71;4763
"2019-08-31 00:00:00";72;4759
"2019-09-01 00:00:00";72;4763
"2019-09-02 00:00:00";1;4695
"2019-09-03 00:00:00";73;4718
"2019-09-04 00:00:00";73;4724
"2019-09-05 00:00:00";73;4736
"2019-09-06 00:00:00";73;4740
"2019-09-07 00:00:00";73;4749
"2019-09-08 00:00:00";73;4752
"2019-09-09 00:00:00";73;4769
"2019-09-10 00:00:00";73;4772
"2019-09-11 00:00:00";74;4774
"2019-09-12 00:00:00";72;4771
"2019-09-13 00:00:00";71;4760
"2019-09-14 00:00:00";71;4753
"2019-09-15 00:00:00";72;4750
"2019-09-16 00:00:00";74;4753
"2019-09-17 00:00:00";73;4750
"2019-09-18 00:00:00";73;4749
"2019-09-19 00:00:00";73;4751
"2019-09-20 00:00:00";74;4752
"2019-09-21 00:00:00";74;4758
"2019-09-22 00:00:00";74;4768
"2019-09-23 00:00:00";74;4774
"2019-09-24 00:00:00";73;4769
"2019-09-25 00:00:00";75;4776
"2019-09-26 00:00:00";75;4772
"2019-09-27 00:00:00";76;4779
"2019-09-28 00:00:00";75;4781
"2019-09-29 00:00:00";76;4764
"2019-09-30 00:00:00";76;4758
"2019-10-01 00:00:00";76;4760
"2019-10-02 00:00:00";76;4756
"2019-10-03 00:00:00";75;4755
"2019-10-04 00:00:00";74;4759
"2019-10-05 00:00:00";74;4763
"2019-10-06 00:00:00";75;4757
"2019-10-07 00:00:00";75;4757
"2019-10-08 00:00:00";73;4765
"2019-10-09 00:00:00";73;4772
"2019-10-10 00:00:00";73;4728
"2019-10-11 00:00:00";74;4676
"2019-10-12 00:00:00";74;4683
"2019-10-13 00:00:00";74;4687
"2019-10-14 00:00:00";76;4691
"2019-10-15 00:00:00";76;4700
"2019-10-16 00:00:00";77;4700
"2019-10-17 00:00:00";77;4709
"2019-10-18 00:00:00";78;4713
"2019-10-19 00:00:00";79;4742
"2019-10-20 00:00:00";80;4749
"2019-10-21 00:00:00";80;4754
"2019-10-22 00:00:00";82;4752
"2019-10-23 00:00:00";81;4758
"2019-10-24 00:00:00";82;4753
"2019-10-25 00:00:00";82;4758
"2019-10-26 00:00:00";82;4757
"2019-10-27 00:00:00";82;4755
"2019-10-28 00:00:00";82;4759
"2019-10-29 00:00:00";82;4759
"2019-10-30 00:00:00";82;4763
"2019-10-31 00:00:00";82;4765
"2019-11-01 00:00:00";81;4764
"2019-11-02 00:00:00";80;4763
"2019-11-03 00:00:00";81;4774
"2019-11-04 00:00:00";81;4767
"2019-11-05 00:00:00";82;4751
"2019-11-06 00:00:00";81;4729
"2019-11-07 00:00:00";81;4730
"2019-11-08 00:00:00";80;4730
"2019-11-09 00:00:00";80;4730
"2019-11-10 00:00:00";80;4733
"2019-11-11 00:00:00";80;4725
"2019-11-12 00:00:00";80;4724
"2019-11-13 00:00:00";81;4726
"2019-11-14 00:00:00";81;4736
"2019-11-15 00:00:00";81;4740
"2019-11-16 00:00:00";81;4747
"2019-11-17 00:00:00";81;4752
"2019-11-18 00:00:00";82;4761
"2019-11-19 00:00:00";81;4764
"2019-11-20 00:00:00";81;4804
"2019-11-21 00:00:00";81;4813
"2019-11-22 00:00:00";82;4825
"2019-11-23 00:00:00";82;4860
"2019-11-24 00:00:00";83;4865
